Brand ,Item Name ,Category,Bought Price,,Sold Price ,Sold Platform ,,,,,,,,,,,,,
Chanel ,Lanyard,Jewelry,0,192.53,192.53,Ebay,,,,,,,,,,,,,
Prada ,Bag ,Bag,0,128.95,,,,,,,,,,,,,,,
CDG ,Checker Pants,Bottoms,0,,0,,,,,,,,,,,,,,
Helmut Lang ,Helmut Lang Back Knit ,Tops,0,85.13,85.13,Ebay,,,,,,,,,,,,,
Helmut Lang ,Helmut Lang Vertical Knit ,Tops,0,0,0,Traded ,,,,,,,,,,,,,
CDG ,CDG Sweater - Brown,Tops,0,0,0,,,,,,,,,,,,,,
Chanel ,Chanel Skirt ,Bottoms,,151.97,,Instagram,,,,,,,,,,,,,
Chanel ,Chanel Necklace ,Jewelry,0,,0,,,,,,,,,,,,,,
Helmut Lang ,Helmut Lang Cream V-Neck Knit,Tops,0,0,0,Traded ,,,,,,,,,,,,,
Margiela ,Margiela Unstable Knit ,Tops,0,122.03,122.03,Website,,,,,,,,,,,,,
Helmut Lang ,Helmut Lang Black Knit,Tops,0,85.14,85.14,Ebay,,,,,,,,,,,,,
Margiela ,Margiela Line10 Reconstructured Knit,Tops,0,114.83,114.83,,,,,,,,,,,,,,
Hermes,Hermes Women's Shirt,Tops,0,87.51,87.51,Ebay,,,,,,,,,,,,,
Number Nine ,No.9 THS,Tops,0,65.23,65.23,Grailed,,,,,,,,,,,,,
Number Nine ,No.9 Anti-War Bush,Tops,0,74.11,74.11,,,,,,,,,,,,,,
Supreme ,Supreme DSM,Tops,0,172.41,172.41,Ebay,,,,,,,,,,,,,
CDG ,CDB Baseball Shirt,Tops,0,,0,,,,,,,,,,,,,,
Rick Owens ,Rick Owens Rib Knit Sweater,Tops,0,93.21,93.21,Grailed,,,,,,,,,,,,,
Margiela ,Margiela Wrong Lens Sunglasses ,Accessory,0,132.25,132.25,Ebay,,,,,,,,,,,,,
Margiela ,Margiela Wood Frame Sunglasses ,Accessory,0,20,20,,,,,,,,,,,,,,
Raf Simons ,Raf simons jeans ,Bottoms,0,150.53,150.53,grailed,,,,,,,,,,,,,
Chanel ,Chanel Square Pendant W/ Pink Crystals ,Jewelry,0,128.36,128.36,Ebay,,,,,,,,,,,,,
Helmut Lang ,Helmut Lang Vest,Tops,0,91.46,91.46,Ebay,,,,,,,,,,,,,
Walter Van Beirendonck ,WVB Jeans,Bottoms,113.15,182.36,69.21,Website,,,,,,,,,,,,,
Yohji Yamamoto ,Yohji Yamamoto Striped Knit,Tops,113.15,173.33,60.18,Meetup,,,,,,,,,,,,,
Prada ,Prada Waistbag - Black,Bag,113.15,121.07,7.92,,,,,,,,,,,,,,
Prada ,Prada Waistbag - Tan,Bag,113.15,153.89,40.74,Ebay,,,,,,,,,,,,,
Ann Demeulemeester ,Ann D Boots- Suede,Shoes,113.15,208.5,95.35,Grailed,,,,,,,,,,,,,
Chanel ,Chanel Tote,Bag,113.15,175,61.85,Meetup,,,,,,,,,,,,,
Prada ,Prada 1999 Waist Bag W/ Fur,Bag,0,0,,Traded ,,,,,,,,,,,,,
Prada ,Prada Neoprene Backpack,Bag,0,0,0,Traded ,,,,,,,,,,,,,
Dior ,Dior Saddle Bag,Bag,113.15,243.88,130.73,Website,,,,,,,,,,,,,
Chanel ,Chanel Shoulder Bag,Bag,113.15,246.73,133.58,Grailed ,,,,,,,,,,,,,
Ann Demeulemeester ,Ann D Motorcycle Boots- Leather (43.5),Shoes,165,281.81,116.81,Website ,,,,,,,,,,,,,
Chanel ,Chanel Windbreaker ,Outerwear,107,,-107,,,,,,,,,,,,,,
Chanel ,Chanel Lanyard ,Jewelry,107,173.56,66.56,Grailed,,,,,,,,,,,,,
CDG ,CDG Shirt T-shirt,Tops,107,148.56,41.56,Website,,,,,,,,,,,,,
CDG ,CDG Womens Blouse ,Tops,107,0,-107,Personal Collection,,,,,,,,,,,,,
Chanel ,Chanel Sport Bracelet ,Jewelry,107,243.78,136.78,Grailed ,,,,,,,,,,,,,
Undercover ,Undercover Less But Better Pants ,Bottoms,107,0,-107,Personal Collection,,,,,,,,,,,,,
Prada ,Prada Anorak ,Outerwear,107,168,61,Grailed ,,,,,,,,,,,,,
Undercover ,Undercover Scab Sneakers ,Shoes,107,159.35,52.35,Grailed ,,,,,,,,,,,,,
Chanel ,Chanel Bracelet ,Jewelry,107,156.83,49.83,Grailed ,,,,,,,,,,,,,
Chanel ,Chanel White Necklace ,Jewelry,107,175,68,Website,,,,,,,,,,,,,
Chanel ,Chanel Crystal Necklace ,Jewelry,107,,-107,,,,,,,,,,,,,,
Ann Demeulemeester ,Ann D Motorcycle Boots- Leather (41),Shoes,170,265.02,95.02,Website ,,,,,,,,,,,,,
N/A,Jewelry Boxes,,21.99,,-21.99,,,,,,,,,,,,,,
Rick Owens ,Rick Owens Combat Boots ,Shoes,226.3,375.33,149.03,Grailed ,,,,,,,,,,,,,
Miu Miu,Miu Miu Waistbag ,Bag,157.25,240.05,82.8,Instagram,,,,,,,,,,,,,
Undercover ,Undercover Pajama set ,Misc,0,129.6,129.6,Grailed ,,,,,,,,,,,,,
Yohji Yamamoto ,Yohji Yamamoto Pocket Knit,Tops,0,60.73,60.73,Traded ,,,,,,,,,,,,,
Undercover ,Undercover Arts and Crafts Rebuild Jeans ,Bottoms,115,173,58,Meetup,,,,,,,,,,,,,
Vivienne Westwood ,"Vivienne Westwood ""Skull"" Knit ",Tops,115,205.22,90.22,Website,,,,,,,,,,,,,
Chanel ,Chanel anorak,Outerwear,115,0,-115,Personal Collection,,,,,,,,,,,,,
Chanel ,Chanel Double C Necklace- Black,Jewelry,115,210.39,95.39,Website ,,,,,,,,,,,,,
Chanel ,Chanel Double C Necklace- Black W/ Box ,Jewelry,115,210.39,95.39,Grailed ,,,,,,,,,,,,,
Chanel ,Chanel Lanyard W/ Compass ,Jewelry,115,150.06,35.06,,,,,,,,,,,,,,
