Brand ,Product,Size ,Category,Date Purchased,Bought $/ Edit Price Only,Sold $ ,Total Profit $,Sold Platform,Date Sold 
Raf Simons ,Holographic Runners,42.00,Shoes ,,180,207.21,27.21,,
Dior ,Western Boots ,40.5,Shoes ,,180,190.14,10.14,,
Chanel ,Friendship bracelet ,OS,Jewelry,,135,101.12,-33.88,,
Chanel ,Chanel Double C Centerstone necklace (green) ,OS,Jewelry,,124.61,214.45,89.84,,
Issey Miyake ,Issey Miyake Convertible Backpack ,OS,Bag,,124.61,,-124.61,,
Undercover ,Undercover S/S 10 Less But Better Waistbag,OS,Bag,,121.98,,-121.98,,
Margiela ,Marting Margiela A/W 2006 Lighting Bolt T-shirt,50,Tops,,123.36,,-123.36,,
Raf Simons ,Raf Simons 1997 Sweatshirt,S,Tops,,123.36,58.42,-64.94,,
Margiela ,Martin Margiela A/W 2008 Marbled knit,48,Tops,,123.36,0,-123.36,,
Raf Simons ,"Raf Simons A/W 2004 ""Rave Signal"" Ls",48,Tops,,121.98,100.2,-21.78,,
Raf Simons ,"Raf Simons S/S 2000 ""Camp Crystal Lake"" T-shirt",46,Tops,,121.98,101.08,-20.9,,
Undercover ,Undercover x Kaws Button Up ,XL,Tops,,121.98,79.77,-42.21,,
Prada ,Prada Geometric knit ,46,Tops,,121.98,117.2,-4.78,,
Raf Simons ,Raf by Raf Simons Padded Bomber ,46,Outerwear,,134.86,144.07,9.21,,
Chanel ,TerryCloth Pouch ,OS,Bag,,143.7,91.61,-52.09,,
Ann Demeulemeester ,Suede Combat Boots,42.5,Shoes ,,168.44,204.24,35.8,,
Rick Owens ,Mohawk Boots ,42,Shoes ,,168.44,222.55,54.11,,
 Rick Owens ,S/S 2017 DRKSHDW Nylon Ramones,41,Shoes ,12/17/19,187.5,294.29,106.79,,
Rick Owens ,Blistered Leather Creeper Boots ,42,Shoes ,,187.5,345.45,157.95,Grailed ,
Dior ,Trotter Shoulder Bag - Pink,OS,Bag,,187.5,246.11,58.61,Grailed ,1/4/20
Rick Owens ,S/S 2018 DRKSHDW Zebra Ramones,OS,Shoes ,,187.5,327.45,139.95,,
Faure Le Page ,Pouch Wallet ,OS,Bag,,187.5,100.72,-86.78,,
Chanel ,Crystal Necklace ,OS,Jewelry,,187.5,214.45,26.95,,
Rick Owens ,DRKSHDW Nylon Ramones ,42,Shoes ,1/8/20,215.53,254.7,39.17,,
Rick Owens ,S/S 2018 DRKSHDW Zebra Ramones,42,Shoes ,,215.53,402.11,186.58,,
Chanel ,Travel Line Shoulder Bag ,OS,Bag,,215.53,252.74,37.21,,
Visvim,ICT Lhamo ,2,Tops,,215.53,201.23,-14.3,,
Visvim,Morningstar Jacket ,1,Tops,,215.53,0,-215.53,,
Chanel ,Crytsal Necklace ,OS,Jewelry,,215.53,214.9,-0.63,,
Rick Owens DRKSHDW,Nylon Ramones ,42.5,Shoes ,,215.53,321.32,105.79,,
Visvim ,Christo ,M,Shoes ,,215.53,256.45,40.92,,
Rick Owens ,Wolffish Ramone Low ,43,Shoes ,1/21/20,220.48,386.85,166.37,,
Rick Owens DRKSHDW,Nylon Ramones ,42,Shoes ,1/21/20,220.48,293.8,73.32,,
Yohji Yamamoto Pour Homme ,Mock Neck Knit ,2,Tops,1/21/20,220.48,168.45,-52.03,,
